Aaoar1	Aaosphaeria	arxii	Aaosphaeria arxii
Nadfu1	Nadsonia	fulvescens	Nadsonia fulvescens
Naifl1	Naiadella	fluitans	Naiadella fluitans
Nakbac1	Nakaseomyces	bacillisporus	Nakaseomyces bacillisporus
Nakdel1	Nakaseomyces	delphensis	Nakaseomyces delphensis
Necha2	Nectria	haematococca	Nectria haematococca
Neodi1	Neonectria	ditissima	Neonectria ditissima
Neoirr1	Neolecta	irregularis	Neolecta irregularis
Neole1	Neolentinus	lepideus	Neolentinus lepideus
Neosp1	Neocallimastix	californiae	Neocallimastix californiae
Neucr4830	Neurospora	crassa	Neurospora crassa
Neucr	Neurospora	crassa	Neurospora crassa
Neuhi1	Neurospora	hispaniola	Neurospora hispaniola
Neute	Neurospora	tetrasperma	Neurospora tetrasperma
Niavib1	Nia	vibrissa	Nia vibrissa
Obbri1	Obba	rivulosa	Obba rivulosa
Obemuc1	Obelidium	mucronatum	Obelidium mucronatum
Ogapa1	Ogataea	parapolymorpha	Ogataea parapolymorpha
Oidma1	Oidiodendron	maius	Oidiodendron maius
Olipa1	Oliveonia	pauxilla	Oliveonia pauxilla
Ophdi1	Ophiobolus	disseminans	Ophiobolus disseminans
Ophnu1	Ophiostoma	novo-ulmi	Ophiostoma novo-ulmi
Pacta1	Pachysolen	tannophilus	Pachysolen tannophilus
Paevar1	Paecilomyces	variotii	Paecilomyces variotii
Paevar	Paecilomyces	variotii	Paecilomyces variotii
Panpap1	Panaeolus	papilionaceus	Panaeolus papilionaceus
Panst	Panellus	stipticus	Panellus stipticus
Parbra1	Paracoccidioides	brasiliensis	Paracoccidioides brasiliensis
Parch1	Paraphoma	chrysanthemicola	Paraphoma chrysanthemicola
Parsed1	Paraphysoderma	sedebokerense	Paraphysoderma sedebokerense
Parsp1	Paraconiothyrium	sporulosum	Paraconiothyrium sporulosum
Patat1	Patellaria	atrata	Patellaria atrata
Paxin1	Paxillus	involutus	Paxillus involutus
Paxru2	Paxillus	adelphus	Paxillus adelphus
Penac1	Penicillium	aculeatum	Penicillium aculeatum
Penant1	Penicillium	antarcticum	Penicillium antarcticum
Penbi1	Penicillium	"bilaiae,"	"Penicillium bilaiae,"
Penbr2	Penicillium	brevicompactum	Penicillium brevicompactum
PenbrAgRF18	Penicillium	brevicompactum	Penicillium brevicompactum
Penca1	Penicillium	"canescens,"	"Penicillium canescens,"
Pench1	Penicillium	chrysogenum	Penicillium chrysogenum
Pencop1	Penicillium	coprophilum	Penicillium coprophilum
Pendec1	Penicillium	decumbens	Penicillium decumbens
Pendig1	Penicillium	digitatum	Penicillium digitatum
Penex1	Penicillium	"expansum,"	"Penicillium expansum,"
Penexp1	Penicillium	expansum	Penicillium expansum
Penfe1	Penicillium	"fellutanum,"	"Penicillium fellutanum,"
Penfla1	Penicillium	flavigenum	Penicillium flavigenum
Pengl1	Penicillium	"glabrum,"	"Penicillium glabrum,"
Pengri1	Penicillium	griseofulvum	Penicillium griseofulvum
Penita1	Penicillium	italicum	Penicillium italicum
Penja1	Penicillium	janthinellum	Penicillium janthinellum
Penla1	Penicillium	"lancoscoeruleum,"	"Penicillium lancoscoeruleum,"
Pennal1	Penicillium	nalgiovense	Penicillium nalgiovense
Penpol1	Penicillium	polonicum	Penicillium polonicum
Penra1	Penicillium	raistrickii	Penicillium raistrickii
Pensol1	Penicillium	solitum	Penicillium solitum
Penste1	Penicillium	steckii	Penicillium steckii
Pensub1	Penicillium	subrubescens	Penicillium subrubescens
Penswi1	Penicillium	sp	Penicillium sp
Penvul1	Penicillium	vulpinum	Penicillium vulpinum
Pezech1	Peziza	echinospora	Peziza echinospora
Phaart1	Phascolomyces	articulosus	Phascolomyces articulosus
Phaca1	Phanerochaete	carnosa	Phanerochaete carnosa
PhaeoFL0889	Phaeoacremonium	sp.	Phaeoacremonium sp.
Phapla1	Phaeosolenia	platensis	Phaeosolenia platensis
Phapo1	Phaeosphaeria	poagena	Phaeosphaeria poagena
Phchr2	Phanerochaete	chrysosporium	Phanerochaete chrysosporium
Phcit1	Phyllosticta	citribraziliensis	Phyllosticta citribraziliensis
Phcitr1	Phyllosticta	citrichinaensis	Phyllosticta citrichinaensis
Phefer1	Phellinus	ferrugineofuscus	Phellinus ferrugineofuscus
Pheign1	Phellinus	igniarius	Phellinus igniarius
Pheni1	Phellopilus	nigrolimitatus	Phellopilus nigrolimitatus
Phiatt1	Phialophora	attae	Phialophora attae
Phimu1	Leotiomycetes	sp.	Leotiomycetes sp.
Phisc1	Phialocephala	scopiformis	Phialocephala scopiformis
Phlbr1	Phlebia	brevispora	Phlebia brevispora
Phlcen1	Phlebia	centrifuga	Phlebia centrifuga
Phlgi1	Phlebiopsis	gigantea	Phlebiopsis gigantea
Phoaln1	Pholiota	alnicola	Pholiota alnicola
Phohig1	Pholiota	molesta	Pholiota molesta
Photr1	Phoma	tracheiphila	Phoma tracheiphila
Phy27169	Phyllosticta	paracitricarpa	Phyllosticta paracitricarpa
Phybl2	Phycomyces	blakesleeanus	Phycomyces blakesleeanus
Phycap1	Phyllosticta	capitalensis	Phyllosticta capitalensis
Phycit1	Phyllosticta	citriasiana	Phyllosticta citriasiana
Phycitr1	Phyllosticta	citricarpa	Phyllosticta citricarpa
Phycpc1	Phyllosticta	sp.	Phyllosticta sp.
Picme2	Pichia	membranifaciens	Pichia membranifaciens
Picst3	Pichia	stipitis	Pichia stipitis
Pieho1	Piedraia	hortae	Piedraia hortae
Pilano1	Pilaira	anomala	Pilaira anomala
Pilcr1	Piloderma	croceum	Piloderma croceum
Pilidi1	Coniella	lustricola	Coniella lustricola
Pilumb1	Pilobolus	umbonatus	Pilobolus umbonatus
Pipbet1	Fomitopsis	betulina	Fomitopsis betulina
Pipcy3	Piptocephalis	cylindrospora	Piptocephalis cylindrospora
Piptie1	Piptocephalis	tieghemiana	Piptocephalis tieghemiana
PirE2	Piromyces	sp.	Piromyces sp.
Pirfi3	Piromyces	finnis	Piromyces finnis
Pismi1	Pisolithus	microcarpus	Pisolithus microcarpus
Pisti1	Pisolithus	tinctorius	Pisolithus tinctorius
Pleav1	Halojulella	avicennia	Halojulella avicennia
Plecuc1	Plectosphaerella	cucumerina	Plectosphaerella cucumerina
PleosPC15	Pleurotus	ostreatus	Pleurotus ostreatus
Plesi1	Pleomassaria	siparia	Pleomassaria siparia
Plicr1	Plicaturopsis	crispa	Plicaturopsis crispa
PnitS607	Phycomyces	nitens	Phycomyces nitens
PnitS608	Phycomyces	nitens	Phycomyces nitens
PnitS609	Phycomyces	nitens	Phycomyces nitens
Pocchl1	Pochonia	chlamydosporia	Pochonia chlamydosporia
Podan3	Podospora	anserina	Podospora anserina
Podans1	Podospora	anserina	Podospora anserina
Podap1	Podospora	appendiculata	Podospora appendiculata
Poddi1	Podospora	didyma	Podospora didyma
Polar1	Polyporus	arcularius	Polyporus arcularius
Polci1	Polychaeton	citri	Polychaeton citri
Polfu1	Polyplosphaeria	fusca	Polyplosphaeria fusca
Polsqu1	Polyporus	squamosus	Polyporus squamosus
Pospl1	Postia	placenta	Postia placenta
PosplRSB12	Postia	placenta	Postia placenta
Powhir1	Powellomyces	hirtus	Powellomyces hirtus
Prola1	Protomyces	lactucaedebilis	Protomyces lactucaedebilis
Psehy1	Pseudovirgaria	hyperparasitica	Pseudovirgaria hyperparasitica
Pseudest1	Pseudogymnoascus	destructans	Pseudogymnoascus destructans
Pseve2	Pseudomassariella	vexata	Pseudomassariella vexata
Psicub1	Psilocybe	cubensis	Psilocybe cubensis
Psiser1	Psilocybe	serbica	Psilocybe serbica
PuccoNC29	Puccinia	coronata	Puccinia coronata
PuccoSD80	Puccinia	coronata	Puccinia coronata
Pucst	Puccinia	striiformis	Puccinia striiformis
Pucstr1	Puccinia	striiformis	Puccinia striiformis
Punst1	Punctularia	strigosozonata	Punctularia strigosozonata
Pursp1	Purpureocillium	sp.	Purpureocillium sp.
Pycci1	Pycnoporus	cinnabarinus	Pycnoporus cinnabarinus
Pyccin1	Pycnoporus	cinnabarinus	Pycnoporus cinnabarinus
Pycco1662	Pycnoporus	coccineus	Pycnoporus coccineus
Pycco1	Pycnoporus	coccineus	Pycnoporus coccineus
Pycsa1	Pycnoporus	sanguineus	Pycnoporus sanguineus
Pyrly1	Pyrenochaeta	lycopersici	Pyrenochaeta lycopersici
Pyrsp1	Pyrenochaeta	sp.	Pyrenochaeta sp.
Radspe1	Radiomyces	spectabilis	Radiomyces spectabilis
Ramac1	Ramaria	acris	Ramaria acris
Rambr1	Ramicandelaber	brevisporus	Ramicandelaber brevisporus
Rhesp1	Rhexocercosporidium	sp.	Rhexocercosporidium sp.
Rhier1	Rhizoscyphus	ericae	Rhizoscyphus ericae
Rhihy1	Rhizoclosmatium	globosum	Rhizoclosmatium globosum
Rhimi1	Rhizopus	microsporus	Rhizopus microsporus
Rhimi	Rhizopus	microsporus	Rhizopus microsporus
Rhimi	Rhizopus	microsporus	Rhizopus microsporus
Rhisa1	Rhizopogon	salebrosus	Rhizopogon salebrosus
Rhitru1	Rhizopogon	truncatus	Rhizopogon truncatus
Rhives1	Rhizopogon	vesiculosus	Rhizopogon vesiculosus
Rhivi1	Rhizopogon	vinicolor	Rhizopogon vinicolor
Rhivul1	Rhizopogon	vulgaris	Rhizopogon vulgaris
Rhoba1	Rhodotorula	graminis	Rhodotorula graminis
Rhodia1	Rhodosporidium	diobovatum	Rhodosporidium diobovatum
Rhomi1	Cystobasidium	minutum	Cystobasidium minutum
Rhosp1	Rhodotorula	sp.	Rhodotorula sp.
Rhoto	Rhodosporidium	toruloides	Rhodosporidium toruloides
Ricme1	Peniophora	sp.	Peniophora sp.
Rigmic1	Rigidoporus	microporus	Rigidoporus microporus
Rozal	Rozella	allomycis	Rozella allomycis
Rusbre1	Russula	brevipes	Russula brevipes
Ruscom1	Russula	compacta	Russula compacta
Rusdis1	Russula	dissimulans	Russula dissimulans
Rusoch1	Russula	ochroleuca	Russula ochroleuca
Rusrug1	Russula	aff.	Russula aff.
Rusvin1	Russula	vinacea	Russula vinacea
SacceM3707	Saccharomyces	cerevisiae	Saccharomyces cerevisiae
SacceM3836	Saccharomyces	cerevisiae	Saccharomyces cerevisiae
SacceM3837	Saccharomyces	cerevisiae	Saccharomyces cerevisiae
SacceM3838	Saccharomyces	cerevisiae	Saccharomyces cerevisiae
SacceM3839	Saccharomyces	cerevisiae	Saccharomyces cerevisiae
SacceYB210	Saccharomyces	cerevisiae	Saccharomyces cerevisiae
Sacpr1	Saccharata	proteae	Saccharata proteae
Saico1	Saitoella	complicata	Saitoella complicata
Sakvas1	Saksenaea	vasiformis	Saksenaea vasiformis
Schco3	Schizophyllum	commune	Schizophyllum commune
Schco	Schizophyllum	commune	Schizophyllum commune
Schco	Schizophyllum	commune	Schizophyllum commune
Schpa1	Schizopora	paradoxa	Schizopora paradoxa
Schves1	Schizothecium	vesticola	Schizothecium vesticola
Sclci1	Scleroderma	citrinum	Scleroderma citrinum
Sclsan1	Sclerophora	sanguinea	Sclerophora sanguinea
Sebve1	Sebacina	vermifera	Sebacina vermifera
Sepmu1	Septoria	musiva	Septoria musiva
Serend1	Serendipita	sp.	Serendipita sp.
SerlaS7	Serpula	lacrymans	Serpula lacrymans
SerlaS7	Serpula	lacrymans	Serpula lacrymans
Serla	Serpula	himantioides	Serpula himantioides
Settu3	Setosphaeria	turcica	Setosphaeria turcica
Settur3	Setosphaeria	turcica	Setosphaeria turcica
Sisbr1	Lentinus	tigrinus	Lentinus tigrinus
Sisni1	Sistotremastrum	niveocremeum	Sistotremastrum niveocremeum
Sissu1	Sistotremastrum	suecicum	Sistotremastrum suecicum
Slopil1	Slooffia	pilatii	Slooffia pilatii
SmiculW2	Smittium	culicis	Smittium culicis
SmicuMNP	Smittium	culicis	Smittium culicis
Smimuc2	Smittium	mucronatum	Smittium mucronatum
Sodal1	Sodiomyces	alkalinus	Sodiomyces alkalinus
Sorbr1	Sordaria	brevicollis	Sordaria brevicollis
Spalat1	Sparassis	latifolia	Sparassis latifolia
Spapa3	Spathaspora	passalidarum	Spathaspora passalidarum
Sphst1	Sphaerobolus	stellatus	Sphaerobolus stellatus
Spifus1	Spinellus	fusiger	Spinellus fusiger
Spofi1	Sporormia	fimetaria	Sporormia fimetaria
Spoli1	Sporobolomyces	linderae	Sporobolomyces linderae
Sporo1	Sporobolomyces	roseus	Sporobolomyces roseus
Spoth2	Myceliophthora	thermophila	Myceliophthora thermophila
Spoumb1	Sporodiniella	umbellata	Sporodiniella umbellata
Stael1	Stachybotrys	elegans	Stachybotrys elegans
Stasp1	Stagonospora	sp.	Stagonospora sp.
Stehi1	Stereum	hirsutum	Stereum hirsutum
Stely1	Stemphylium	lycopersici	Stemphylium lycopersici
Stobe1	Stomiopeltis	betulae	Stomiopeltis betulae
Suiamp1	Suillus	ampliporus	Suillus ampliporus
Suibr2	Suillus	brevipes	Suillus brevipes
Suicli1	Suillus	clintonianus	Suillus clintonianus
Suicot1	Suillus	cothurnatus	Suillus cothurnatus
Suilu4	Suillus	luteus	Suillus luteus
Suisu1	Suillus	subalutaceus	Suillus subalutaceus
Suisub1	Suillus	subaureus	Suillus subaureus
Suitom1	Suillus	tomentosus	Suillus tomentosus
Symko1	Symbiotaphrina	kochii	Symbiotaphrina kochii
Synfus1	Syncephalis	fuscata	Syncephalis fuscata
Synplu1	Syncephalis	plumigaleata	Syncephalis plumigaleata
Synps1	Syncephalis	pseudoplumigaleata	Syncephalis pseudoplumigaleata
Synrac1	Syncephalastrum	racemosum	Syncephalastrum racemosum
Talabor1	Talaromyces	borbonicus	Talaromyces borbonicus
Talpro1	Talaromyces	proteolyticus	Talaromyces proteolyticus
Tercla1	Terfezia	claveryi	Terfezia claveryi
Ternu1	Teratosphaeria	nubilosa	Teratosphaeria nubilosa
Thacu1	Thanatephorus	cucumeris	Thanatephorus cucumeris
Thasp1	Thamnocephalis	sphaerospora	Thamnocephalis sphaerospora
Theau1	Thermoascus	aurantiacus	Thermoascus aurantiacus
Thelan1	Thermomyces	lanuginosus	Thermomyces lanuginosus
Thian1	Thielavia	antarctica	Thielavia antarctica
Thiap1	Thielavia	appendiculata	Thielavia appendiculata
Thiar1	Thielavia	arenaria	Thielavia arenaria
Thihy1	Thielavia	hyrcaniae	Thielavia hyrcaniae
Thite2	Thielavia	terrestris	Thielavia terrestris
ThoPMI491	Thozetella	sp.	Thozetella sp.
Tilan2	Tilletiaria	anomala	Tilletiaria anomala
Tillet1	Tilletiopsis	sp	Tilletiopsis sp
Tolinf1	Tolypocladium	inflatum	Tolypocladium inflatum
Totfu1	Tothia	fuscella	Tothia fuscella
Trabet1	Trametes	betulina	Trametes betulina
Tragib1	Trametes	gibbosa	Trametes gibbosa
Tralac1	Leiotrametes	lactinea	Leiotrametes lactinea
Tralj1	Trametes	ljubarskyi	Trametes ljubarskyi
Tramax1	Trametes	maxima	Trametes maxima
Tramen1	Leiotrametes	menziesii	Leiotrametes menziesii
Tramey1	Trametes	meyenii	Trametes meyenii
Trapol1	Trametes	polyzona	Trametes polyzona
Trapub1	Trametes	pubescens	Trametes pubescens
Trave1	Trametes	versicolor	Trametes versicolor
Treen1	Naematella	encephala	Naematella encephala
Treme1	Tremella	mesenterica	Tremella mesenterica
Trepe1	Trematosphaeria	pertusa	Trematosphaeria pertusa
Triab1	Trichaptum	abietinum	Trichaptum abietinum
Triarc1	Triparticalcar	arcticum	Triparticalcar arcticum
Trias1	Trichoderma	asperellum	Trichoderma asperellum
Trias2479	Trichosporon	asahii	Trichosporon asahii
Trias8904	Trichosporon	asahii	Trichosporon asahii
Triat2	Trichoderma	atroviride	Trichoderma atroviride
Trici4	Trichoderma	citrinoviride	Trichoderma citrinoviride
Trigam1	Trichoderma	gamsii	Trichoderma gamsii
Triha1	Trichoderma	harzianum	Trichoderma harzianum
Trihyb1	Trichophaea	hybrida	Trichophaea hybrida
Trilo3	Trichoderma	longibrachiatum	Trichoderma longibrachiatum
Trima3	Tricholoma	matsutake	Tricholoma matsutake
Triol1	Trichosporon	oleaginosus	Trichosporon oleaginosus
Tripra1	Tricharina	praecox	Tricharina praecox
Trire2	Trichoderma	reesei	Trichoderma reesei
TrireRUTC30	Trichoderma	reesei	Trichoderma reesei
Trisp1	Tritirachium	sp.	Tritirachium sp.
TriviGv29	Trichoderma	virens	Trichoderma virens
Truan1	Truncatella	angustata	Truncatella angustata
Tryvi1	Trypethelium	virens	Trypethelium virens
Tulca1	Tulasnella	calospora	Tulasnella calospora
Tulcal1	Tulasnella	calospora	Tulasnella calospora
Umbisa1	Umbelopsis	isabellina	Umbelopsis isabellina
Umbra1	Umbelopsis	ramanniana	Umbelopsis ramanniana
Umbsp	Umbelopsis	sp.1	Umbelopsis sp.1
Uroocc1	Urocystis	occulta	Urocystis occulta
Uropr1	Urocystis	primulicola	Urocystis primulicola
Usthor1	Ustilago	hordei	Ustilago hordei
Ustma2	Ustilago	maydis	Ustilago maydis
Ustvir1	Ustilaginoidea	virens	Ustilaginoidea virens
Velabi1	Veluticeps	abietina	Veluticeps abietina
Veren1	Verruculina	enalia	Verruculina enalia
Verga1	Verruconis	gallopava	Verruconis gallopava
Vuico1	Vuilleminia	comedens	Vuilleminia comedens
Vuicom1	Vuilleminia	comedens	Vuilleminia comedens
Walse1	Wallemia	mellicola	Wallemia mellicola
Wesor1	Westerdykella	ornata	Westerdykella ornata
Wican1	Wickerhamomyces	anomalus	Wickerhamomyces anomalus
Wicdo1	Wickerhamiella	domercqiae	Wickerhamiella domercqiae
Wilmi1	Wilcoxina	mikolae	Wilcoxina mikolae
Wolco1	Wolfiporia	cocos	Wolfiporia cocos
Xylhe1	Xylona	heveae	Xylona heveae
XylPMI506	Xylariales	sp.	Xylariales sp.
Yarlip1	Yarrowia	lipolytica	Yarrowia lipolytica
Zancul2	Zancudomyces	culisetae	Zancudomyces culisetae
Zasce1	Zasmidium	cellare	Zasmidium cellare
Zoorad1	Zoophthora	radicans	Zoophthora radicans
Zoprh1	Zopfia	rhizophila	Zopfia rhizophila
Zycmex1	Zychaea	mexicana	Zychaea mexicana
Zyghet1	Mucor	heterogamous	Mucor heterogamous
Zymbr1	Zymoseptoria	brevis	Zymoseptoria brevis
