Aaoar1	Aaosphaeria	arxii	Aaosphaeria arxii
Aspzo1	Aspergillus	zonatus	Aspergillus zonatus
Atrsp2	Atractiellales	rhizophila	Atractiellales rhizophila
Aulhe2	Aulographum	hederae	Aulographum hederae
Auramp1	Auriculariopsis	ampla	Auriculariopsis ampla
Aurde3	Auricularia	delicata	Auricularia delicata
Aurpu	Aureobasidium	pullulans	Aureobasidium pullulans
Aurpu	Aureobasidium	pullulans	Aureobasidium pullulans
Aurpu	Aureobasidium	pullulans	Aureobasidium pullulans
Aurpu	Aureobasidium	pullulans	Aureobasidium pullulans
Aurvu1	Auriscalpium	vulgare	Auriscalpium vulgare
Babin1	Babjeviella	inositovora	Babjeviella inositovora
Bacci1	Backusella	circina	Backusella circina
Basme2finSC	Basidiobolus	meristosporus	Basidiobolus meristosporus
Batde5	Batrachochytrium	dendrobatidis	Batrachochytrium dendrobatidis
Bauco1	Baudoinia	compniacensis	Baudoinia compniacensis
Bisnum1	Biscogniauxia	nummularia	Biscogniauxia nummularia
Bissp1	Bisporella	sp.	Bisporella sp.
Bjead1	Bjerkandera	adusta	Bjerkandera adusta
Blabri1	Blastocladiella	britannica	Blastocladiella britannica
Blatri	Blakeslea	trispora	Blakeslea trispora
Blatri	Blakeslea	trispora	Blakeslea trispora
Blugr2	Blumeria	graminis	Blumeria graminis
Blugra1	Blumeria	graminis	Blumeria graminis
BlugrR1	Blumeria	graminis	Blumeria graminis
Blyhe1	Blyttiomyces	helicus	Blyttiomyces helicus
Boeex1	Boeremia	exigua	Boeremia exigua
Boled1	Boletus	edulis	Boletus edulis
Bombar1	Lasiosphaeriaceae	sp.	Lasiosphaeriaceae sp.
Bombom1	Bombardia	bombarda	Bombardia bombarda
Botbo1	Botryobasidium	botryosum	Botryobasidium botryosum
Botmuc1	Botryozyma	mucatilis	Botryozyma mucatilis
Bysci1	Byssothecium	circinans	Byssothecium circinans
Bysni1	Paecilomyces	niveus	Paecilomyces niveus
Byssp1	Byssochlamys	spectabilis	Byssochlamys spectabilis
Cadsp1	Cadophora	sp.	Cadophora sp.
Caecom1	Caecomyces	churrovis	Caecomyces churrovis
Calco1	Calocera	cornea	Calocera cornea
Calvi1	Calocera	viscosa	Calocera viscosa
Canalb1	Candida	albicans	Candida albicans
Canar1	Candida	arabinofermentans	Candida arabinofermentans
Canca1	Candida	caseinolytica	Candida caseinolytica
Canta1	Candida	tanzawaensis	Candida tanzawaensis
Cante1	Candida	tenuis	Candida tenuis
Capcor1	Capronia	coronata	Capronia coronata
Capep1	Capronia	epimyces	Capronia epimyces
Capse1	Capronia	semiimmersa	Capronia semiimmersa
Catan2	Catenaria	anguillulae	Catenaria anguillulae
Caupr1	Caulochytrium	protostelioides	Caulochytrium protostelioides
Caupr	Caulochytrium	protostelioides	Caulochytrium protostelioides
Cenge3	Cenococcum	geophilum	Cenococcum geophilum
Cercau1	Cercophora	caudata	Cercophora caudata
Cernew1	Cercophora	newfieldiana	Cercophora newfieldiana
Cersc1	Cercophora	scortea	Cercophora scortea
Cersu1	Ceriporiopsis	(Gelatoporia)	Ceriporiopsis (Gelatoporia)
Cerun2	Cerrena	unicolor	Cerrena unicolor
Cerzm1	Cercospora	zeae-maydis	Cercospora zeae-maydis
Chafi1	Chaetomidium	fimeti	Chaetomidium fimeti
Chalo1	Chalara	longipes	Chalara longipes
Chlpad1	Absidia	padenii	Absidia padenii
Chocucu1	Choanephora	cucurbitarum	Choanephora cucurbitarum
Chove1	Choiromyces	venosus	Choiromyces venosus
Chyhya1	Chytriomyces	hyalinus	Chytriomyces hyalinus
Chylag1	Chytridium	lagenaria	Chytridium lagenaria
Chytri1	Chytriomyces	sp.	Chytriomyces sp.
Cirumb1	Circinella	umbellata	Circinella umbellata
Claba1	Cladophialophora	bantiana	Cladophialophora bantiana
Clabul1	Cladorrhinum	bulbillosum	Cladorrhinum bulbillosum
Claca1	Cladophialophora	carrionii	Cladophialophora carrionii
Clael1	Clathrospora	elynae	Clathrospora elynae
